equipo,partido_jugado,victoria_clasica,puntos_victoria_w,partidos_jugados_w,Ratio_Clasico,Score_Poder,Indice_Presion,PTS,Puntos,Promedio_Rivales,Forma_Actual
France,162,108,160.3,243.4,0.6666666666666666,160.3,0.6585866885784717,6,1894.4,1554.6933333333334,4.66
Argentina,158,105,153.5,243.0,0.6645569620253164,153.5,0.6316872427983539,6,1901.93,1510.506666666667,4.53
Belgium,151,100,153.4,231.3,0.6622516556291391,153.4,0.6632079550367488,2,1727.88,1490.63,1.49
Portugal,157,99,142.6,236.4,0.6305732484076433,142.6,0.6032148900169204,4,1766.74,1544.21,3.09
Spain,151,96,142.3,230.5,0.6357615894039735,142.3,0.617353579175705,4,1864.32,1492.8133333333335,2.99
England,155,98,142.0,236.2,0.632258064516129,142.0,0.6011854360711262,4,1829.82,1533.0333333333335,3.07
Germany,157,90,135.9,228.8,0.5732484076433121,135.9,0.5939685314685315,6,1760.46,1469.8233333333335,4.41
Mexico,208,114,134.4,240.5,0.5480769230769231,134.4,0.5588357588357589,9,1736.01,1492.4066666666663,4.48
Brazil,153,99,132.0,222.5,0.6470588235294118,132.0,0.5932584269662922,7,1785.19,1510.7333333333336,3.53
Netherlands,146,82,124.9,215.9,0.5616438356164384,124.9,0.5785085687818434,4,1764.4,1545.6466666666668,3.09
United States,188,100,115.0,212.5,0.5319148936170213,115.0,0.5411764705882353,6,1709.59,1550.6899999999998,4.65
Croatia,149,79,113.0,228.8,0.5302013422818792,113.0,0.49388111888111885,3,1711.48,1572.4800000000002,2.36
Senegal,154,95,112.6,180.2,0.6168831168831169,112.6,0.6248612652608213,0,1638.36,1640.04,0.0
Japan,163,102,110.5,184.5,0.6257668711656442,110.5,0.5989159891598916,4,1681.26,1573.36,3.15
Morocco,157,100,106.2,173.6,0.6369426751592356,106.2,0.6117511520737328,7,1776.4,1513.6633333333332,3.53
South Korea,169,95,100.0,179.0,0.5621301775147929,100.0,0.5586592178770949,3,1558.72,1551.503333333333,1.55
Switzerland,145,70,99.6,218.2,0.4827586206896552,99.6,0.45646196150320806,7,1676.0,1457.0199999999998,3.4
Iran,138,89,97.5,162.0,0.644927536231884,97.5,0.6018518518518519,2,1611.18,1529.53,1.53
Algeria,156,98,97.4,166.7,0.6282051282051282,97.4,0.5842831433713258,3,1575.64,1619.2700000000002,2.43
Colombia,145,73,96.5,203.0,0.503448275862069,96.5,0.4753694581280788,6,1727.42,1557.3166666666666,4.67
Austria,129,71,95.0,177.2,0.5503875968992248,95.0,0.536117381489842,3,1599.99,1611.1533333333336,2.42
Uruguay,140,66,92.5,200.5,0.4714285714285714,92.5,0.4613466334164589,2,1649.96,1564.2666666666669,1.56
Sweden,150,72,91.7,192.6,0.48,91.7,0.476116303219107,3,1517.99,1627.7833333333335,2.44
Turkey,140,72,91.3,182.7,0.5142857142857142,91.3,0.49972632731253425,0,1550.13,1603.8433333333332,0.0
Australia,131,69,90.0,171.5,0.5267175572519084,90.0,0.5247813411078717,3,1584.55,1592.37,2.39
Tunisia,158,79,89.0,174.7,0.5,89.0,0.5094447624499142,0,1437.69,1654.55,0.0
Ivory Coast,144,76,87.3,159.8,0.5277777777777778,87.3,0.5463078848560701,3,1551.71,1539.4066666666668,2.31
Qatar,186,87,86.5,179.0,0.46774193548387094,86.5,0.48324022346368717,1,1411.06,1545.3333333333333,0.52
Egypt,144,80,85.7,159.8,0.5555555555555556,85.7,0.5362953692115143,4,1583.37,1538.8000000000002,3.08
Panama,168,65,81.9,194.6,0.3869047619047619,81.9,0.42086330935251803,0,1489.05,1646.6233333333332,0.0
Saudi Arabia,174,75,81.5,173.5,0.43103448275862066,81.5,0.4697406340057637,1,1426.71,1638.6833333333334,0.82
Norway,124,61,81.2,154.7,0.49193548387096775,81.2,0.5248868778280543,6,1606.48,1650.6666666666667,4.95
Czech Republic,134,63,77.5,175.1,0.4701492537313433,77.5,0.44260422615648204,1,1467.26,1581.9899999999998,0.53
