equipo,partidos_jugados,victoria,empate,derrota,goles_favor,goles_contra,Ratio V/PJ
Mexico,208,114,48,46,329.0,199.0,0.5480769230769231
France,162,108,31,23,344.0,139.0,0.6666666666666666
Argentina,158,105,33,20,315.0,102.0,0.6645569620253164
Japan,163,102,28,33,372.0,141.0,0.6257668711656442
United States,188,100,36,52,353.0,194.0,0.5319148936170213
Belgium,151,100,28,23,366.0,130.0,0.6622516556291391
Morocco,157,100,35,22,279.0,83.0,0.6369426751592356
Portugal,157,99,32,26,343.0,124.0,0.6305732484076433
Brazil,153,99,33,21,310.0,104.0,0.6470588235294118
England,155,98,32,25,320.0,103.0,0.632258064516129
Algeria,156,98,32,26,335.0,135.0,0.6282051282051282
Spain,151,96,37,18,351.0,117.0,0.6357615894039735
South Korea,169,95,37,37,285.0,154.0,0.5621301775147929
Senegal,154,95,40,19,259.0,102.0,0.6168831168831169
Germany,157,90,36,31,359.0,168.0,0.5732484076433121
Iran,138,89,29,20,274.0,93.0,0.644927536231884
Qatar,186,87,41,58,301.0,216.0,0.46774193548387094
Italy,145,82,36,27,260.0,126.0,0.5655172413793104
Netherlands,146,82,32,32,312.0,152.0,0.5616438356164384
Egypt,144,80,35,29,208.0,98.0,0.5555555555555556
Croatia,149,79,36,34,263.0,154.0,0.5302013422818792
Tunisia,158,79,40,39,222.0,135.0,0.5
Ivory Coast,144,76,39,29,227.0,122.0,0.5277777777777778
Saudi Arabia,174,75,39,60,240.0,190.0,0.43103448275862066
Jordan,173,73,42,58,251.0,180.0,0.42196531791907516
Colombia,145,73,43,29,223.0,124.0,0.503448275862069
Sweden,150,72,28,50,238.0,166.0,0.48
Thailand,148,72,35,41,252.0,168.0,0.4864864864864865
Turkey,140,72,32,36,237.0,171.0,0.5142857142857142
Austria,129,71,24,34,221.0,129.0,0.5503875968992248
Denmark,138,70,37,31,245.0,120.0,0.5072463768115942
Switzerland,145,70,41,34,264.0,154.0,0.4827586206896552
Australia,131,69,27,35,239.0,121.0,0.5267175572519084
