Equipo,PTS,Puntos,Promedio_Rivales,Forma_Actual
Norway,6,1606.48,1650.6666666666667,4.95
Colombia,6,1727.42,1557.3166666666666,4.67
France,6,1894.4,1554.6933333333334,4.66
United States,6,1709.59,1550.6899999999998,4.65
Argentina,6,1901.93,1510.506666666667,4.53
Mexico,9,1736.01,1492.4066666666665,4.48
Germany,6,1760.46,1469.8233333333335,4.41
Brazil,7,1785.19,1510.7333333333336,3.53
Morocco,7,1776.4,1513.6633333333332,3.53
Switzerland,7,1676.0,1457.0199999999998,3.4
Ghana,4,1398.57,1676.7833333333335,3.35
Japan,4,1681.26,1573.36,3.15
Portugal,4,1766.74,1544.21,3.09
Netherlands,4,1764.4,1545.6466666666668,3.09
Egypt,4,1583.37,1538.8000000000002,3.08
England,4,1829.82,1533.0333333333335,3.07
Spain,4,1864.32,1492.8133333333335,2.99
Sweden,3,1517.99,1627.7833333333335,2.44
Algeria,3,1575.64,1619.2700000000002,2.43
Paraguay,3,1517.39,1614.7566666666664,2.42
Austria,3,1599.99,1611.1533333333336,2.42
Australia,3,1584.55,1592.37,2.39
Croatia,3,1711.48,1572.4800000000002,2.36
Ivory Coast,3,1551.71,1539.4066666666668,2.31
South Africa,4,1451.24,1587.33,2.12
Bosnia and Herzegovina,4,1408.93,1546.043333333333,2.06
Canada,4,1551.07,1498.6633333333332,2.0
Cape Verde,2,1401.77,1646.9966666666667,1.65
Scotland,3,1491.22,1608.7233333333334,1.61
Uruguay,2,1649.96,1564.2666666666667,1.56
South Korea,3,1558.72,1551.503333333333,1.55
Iran,2,1611.18,1529.53,1.53
Belgium,2,1727.88,1490.63,1.49
New Zealand,1,1277.34,1640.8100000000002,0.82
DR Congo,1,1472.37,1642.3333333333333,0.82
Saudi Arabia,1,1426.71,1638.6833333333334,0.82
Curacao,1,1299.41,1623.506666666667,0.81
Ecuador,1,1558.35,1537.1933333333334,0.77
Czech Republic,1,1467.26,1581.9899999999998,0.53
Qatar,1,1411.06,1545.3333333333333,0.52
Uzbekistan,0,1432.84,1655.51,0.0
Turkey,0,1550.13,1603.8433333333332,0.0
Jordan,0,1355.89,1692.5200000000002,0.0
Iraq,0,1419.24,1713.08,0.0
Senegal,0,1638.36,1640.04,0.0
Tunisia,0,1437.69,1654.55,0.0
Haiti,0,1264.58,1684.2700000000002,0.0
Panama,0,1489.05,1646.6233333333332,0.0
